"Pricing","Pricing"
"Default percentage fee","Default percentage fee"
"Notify when supplier changed his profile","Notify when supplier changed his profile"
"Notify supplier when his profile was approved","Notify supplier when his profile was approved"
"Presentation","Presentation"
"Allow to create configurable products","Allow to create configurable products"
"Enable supplier pages","Enable supplier pages"
"Add "Sold by" option on product page","Add "Sold by" option on product page"
"Enable supplier rating","Enable supplier rating"
"Allow supplier to manage shipping costs","Allow supplier to manage shipping costs"
"Allow to send emails to customers if supplier create a shipment","Allow to send emails to customers if supplier create a shipment"
"Allow to send emails to customers if supplier create a invoice","Allow to send emails to customers if supplier create a invoice"
"CSV Import","CSV Import"
"Enable CSV import","Enable CSV import"
"Send a notification when supplier uploads the products","Send a notification when supplier uploads the products"
"How many product can be imported","How many product can be imported"
"Shipping Labels","Shipping Labels"
"Custom Label","Custom Label"
"Number down","Number down"
"Number across","Number across"
"Page Height","Page Height"
"Page Width","Page Width"
"Label Width","Label Width"
"Label Height","Label Height"
"Vertical pitch","Vertical pitch"
"Horizontal pitch","Horizontal pitch"
"Top margin","Top margin"
"Side margin","Side margin"
"Top padding","Top padding"
"Left padding","Left padding"
"Font Size","Font Size"
"DHL Label","DHL Label"
"Fedex Label","Fedex Label"
"UPS Label","UPS Label"
"USPS Label","USPS Label"
"DHLint Label","DHLint Label"
"Profile waiting for approval","Profile waiting for approval"
"Add New Supplier","Add New Supplier"
"Supplier","Supplier"
"Supplier - Custom Profile Fields","Supplier - Custom Profile Fields"
"Must be approved","Must be approved"
"Label","Label"
"Type","Type"
"Required","Required"
"Must be Approved","Must be Approved"
"Is System","Is System"
"Created At","Created At"
"Action","Action"
"Edit","Edit"
"Details","Details"
"Description","Description"
"Options","Options"
"Add New","Add New"
"Payed Amount","Payed Amount"
"Payed Date","Payed Date"
"Owing","Owning"
"Billing list","Billing list"
"Custom Field","Custom Field"
"New","New"
"Customer View","Customer View"
"Shipping Costs","Shipping Costs"
"Sold Products","Sold Products"
"Supplier Profile","Supplier Profile"
"Customer Rates","Customer Rates"
"Allowed Categories","Allowed Categories"
"Sales Percentage Fee","Sales Percentage Fee"
"Flat rate","Flat rate"
"Table rate","Table rate"
"Freeshipping","Freeshipping"
"Upload CSV file","Upload CSV file"
"Delete Supplier","Delete Supplier"
"Save Supplier","Save Supplier"
"Save and Continue Edit","Save and Continue Edit"
"Product name","Product name"
"Quantity","Quantity"
"Purchase On","Purchase On"
"Shipped to Name","Shipped to Name"
"Subtotal","Subtotal"
"Net Income","Net Income"
"View Order","View Order"
"Supplier Profile Configuration","Supplier Profile Configuration"
"Approved","Approved"
"Remark","Remark"
"Supplier Profile Info","Supplier Profile Info"
"Profile Enabled","Profile Enabled"
"Supplier Profile Custom Fields","Supplier Profile Custom Fields"
"Supplier Profile Info Waiting for Approval","Supplier Profile Info Waiting for Approval"
"Supplier Profile Custom Fields Waiting for Approval","Supplier Profile Custom Fields Waiting for Approval"
"Customer ID","Customer ID"
"Voted On","Voted On"
"Category Name","Category Name"
"1. Upload images needed for products","1. Upload images needed for products"
