"Order Restrictions","Order Restrictions"
"Minimum Order Amount","Minimum Order Amount"
"Minimum Order Product Qty","Minimum Order Product Qty"
"Restrictions per","Restrictions per"
"0 or empty mean no restriction","0 or empty mean no restriction"
"Minimum quantity of product in order","Minimum quantity of product in order"
"You have not reached some of required value.","You have not reached some of required value."
"Minimum Order Amount for %s products should be %s. Currently, you reached %s in your Cart.","Minimum Order Amount for %s products should be %s. Currently, you reached %s in your Cart."
"Minimum Order Qty for %s products should be %s. Currently, you reached %s in your Cart.","Minimum Order Qty for %s products should be %s. Currently, you reached %s in your Cart."
